(235, 149)
(-363, -200)
(-60, 131)
(-307, -111)
(-73, 92)
(291, 40)
(-155, -23)
(-191, -9)
(-265, -218)
(-184, 196)
(-138, -158)
(-367, -233)
(67, -95)
(-190, 354)
(244, 242)
(184, 355)
(-306, -225)
(205, -26)
(231, 218)
(203, 132)
(-102, -194)
(52, -218)
(-184, 126)
(261, 382)
(-361, -108)
(76, -65)
(-178, 205)
(167, -126)
(-283, 280)
(93, 399)
(-376, -91)
(-323, 185)
(210, -364)
(123, 225)
(338, 288)
(276, 207)
(193, 72)
(-111, -221)
(-97, 329)
(-250, 6)
(183, 292)
(178, -131)
(158, -293)
(-230, 152)
(89, 240)
(-179, 148)
(189, 168)
(-6, -114)
(51, 376)
(-345, 116)
(-89, -192)
(316, -360)
(-107, -46)
(368, -256)
(-233, -176)
(-230, -398)
(-28, 383)
(103, 396)
(164, 358)
(-286, 98)
