S1 : 0 -> 98 : FROM START TO END
S2 : 69 -> 93 : FROM S1 TO S1
S3 : 44 -> 97 : FROM S1 TO S1
S4 : 83 -> 95 : FROM S3 TO S3
S5 : 36 -> 88 : FROM S1 TO S3
S6 : 92 -> 96 : FROM S2 TO S1
S7 : 78 -> 83 : FROM S1 TO S3
S8 : 77 -> 87 : FROM S3 TO S5
S9 : 87 -> 90 : FROM S4 TO S3
S10 : 8 -> 55 : FROM S1 TO S3
S11 : 80 -> 86 : FROM S8 TO S1
S12 : 34 -> 47 : FROM S1 TO S10
S13 : 10 -> 28 : FROM S10 TO S10
S14 : 78 -> 87 : FROM S1 TO S1
S15 : 26 -> 43 : FROM S1 TO S5
S16 : 75 -> 78 : FROM S1 TO S8
S17 : 79 -> 95 : FROM S7 TO S3
S18 : 87 -> 95 : FROM S2 TO S1
S19 : 70 -> 92 : FROM S5 TO S1
S20 : 6 -> 86 : FROM S1 TO S17
S21 : 80 -> 86 : FROM S7 TO S17
S22 : 76 -> 97 : FROM S5 TO S1
S23 : 83 -> 92 : FROM S11 TO S17
S24 : 33 -> 69 : FROM S10 TO S3
S25 : 14 -> 28 : FROM S1 TO S1
S26 : 26 -> 91 : FROM S25 TO S19
S27 : 86 -> 90 : FROM S5 TO S26
S28 : 76 -> 91 : FROM S1 TO S22
S29 : 79 -> 88 : FROM S14 TO S22
S30 : 21 -> 33 : FROM S1 TO S26
S31 : 81 -> 83 : FROM S11 TO S5
S32 : 85 -> 96 : FROM S8 TO S22
S33 : 88 -> 95 : FROM S28 TO S6
S34 : 19 -> 78 : FROM S10 TO S19
S35 : 38 -> 71 : FROM S1 TO S19
S36 : 81 -> 88 : FROM S7 TO S4
S37 : 32 -> 74 : FROM S26 TO S3
S38 : 93 -> 96 : FROM S32 TO S1
S39 : 77 -> 82 : FROM S16 TO S22
S40 : 5 -> 52 : FROM S1 TO S26
S41 : 53 -> 72 : FROM S10 TO S37
S42 : 93 -> 97 : FROM S32 TO S1
S43 : 54 -> 87 : FROM S41 TO S28
S44 : 16 -> 27 : FROM S40 TO S1
S45 : 24 -> 67 : FROM S1 TO S26
S46 : 32 -> 87 : FROM S1 TO S36
S47 : 40 -> 73 : FROM S5 TO S2
S48 : 90 -> 95 : FROM S23 TO S42
S49 : 95 -> 97 : FROM S38 TO S1
S50 : 25 -> 37 : FROM S1 TO S15
S51 : 81 -> 86 : FROM S8 TO S29
S52 : 82 -> 92 : FROM S31 TO S22
S53 : 91 -> 93 : FROM S33 TO S17
S54 : 42 -> 63 : FROM S34 TO S34
S55 : 15 -> 55 : FROM S1 TO S26
S56 : 42 -> 97 : FROM S15 TO S1
S57 : 95 -> 97 : FROM S42 TO S1
S58 : 32 -> 88 : FROM S50 TO S17
S59 : 57 -> 92 : FROM S58 TO S33
S60 : 30 -> 95 : FROM S1 TO S32
S61 : 44 -> 69 : FROM S60 TO S3
S62 : 60 -> 97 : FROM S41 TO S1
S63 : 86 -> 92 : FROM S2 TO S53
S64 : 82 -> 89 : FROM S14 TO S3
S65 : 33 -> 54 : FROM S1 TO S60
S66 : 23 -> 88 : FROM S30 TO S56
S67 : 85 -> 92 : FROM S64 TO S60
S68 : 93 -> 95 : FROM S18 TO S56
S69 : 60 -> 89 : FROM S37 TO S60
S70 : 28 -> 73 : FROM S1 TO S43
S71 : 80 -> 95 : FROM S1 TO S38
S72 : 13 -> 85 : FROM S10 TO S3
S73 : 80 -> 86 : FROM S39 TO S46
S74 : 83 -> 97 : FROM S51 TO S1
S75 : 33 -> 59 : FROM S1 TO S20
S76 : 90 -> 92 : FROM S52 TO S32
S77 : 34 -> 42 : FROM S37 TO S75
S78 : 88 -> 97 : FROM S32 TO S1
S79 : 41 -> 97 : FROM S45 TO S1
S80 : 6 -> 9 : FROM S1 TO S40
S81 : 88 -> 92 : FROM S9 TO S78
S82 : 75 -> 83 : FROM S5 TO S69
S83 : 88 -> 93 : FROM S23 TO S62
S84 : 43 -> 49 : FROM S56 TO S72
S85 : 9 -> 68 : FROM S1 TO S20
S86 : 40 -> 51 : FROM S24 TO S75
S87 : 91 -> 93 : FROM S76 TO S56
S88 : 40 -> 92 : FROM S77 TO S17
S89 : 28 -> 68 : FROM S10 TO S56
S90 : 16 -> 18 : FROM S1 TO S20
S91 : 45 -> 78 : FROM S84 TO S39
S92 : 82 -> 94 : FROM S8 TO S32
S93 : 53 -> 84 : FROM S61 TO S4
S94 : 56 -> 78 : FROM S61 TO S20
S95 : 5 -> 50 : FROM S1 TO S34
S96 : 80 -> 84 : FROM S29 TO S51
S97 : 43 -> 96 : FROM S70 TO S79
S98 : 49 -> 64 : FROM S61 TO S1
S99 : 81 -> 97 : FROM S28 TO S1
S100 : 26 -> 73 : FROM S1 TO S19
S101 : 59 -> 68 : FROM S5 TO S58
S102 : 90 -> 97 : FROM S88 TO S1
S103 : 41 -> 54 : FROM S47 TO S20
S104 : 95 -> 97 : FROM S78 TO S1
S105 : 8 -> 14 : FROM S1 TO S13
S106 : 86 -> 93 : FROM S52 TO S92
S107 : 16 -> 60 : FROM S25 TO S1
S108 : 60 -> 80 : FROM S43 TO S82
S109 : 56 -> 94 : FROM S37 TO S102
S110 : 33 -> 46 : FROM S1 TO S12
S111 : 65 -> 81 : FROM S69 TO S28
S112 : 69 -> 83 : FROM S41 TO S3
S113 : 73 -> 97 : FROM S108 TO S1
S114 : 69 -> 94 : FROM S91 TO S56
S115 : 27 -> 46 : FROM S1 TO S88
S116 : 90 -> 97 : FROM S17 TO S1
S117 : 94 -> 97 : FROM S102 TO S1
S118 : 94 -> 97 : FROM S33 TO S1
S119 : 78 -> 82 : FROM S69 TO S99
S120 : 6 -> 50 : FROM S1 TO S66
S121 : 88 -> 94 : FROM S27 TO S113
S122 : 22 -> 34 : FROM S30 TO S50
S123 : 95 -> 97 : FROM S118 TO S1
S124 : 94 -> 96 : FROM S78 TO S74
S125 : 37 -> 51 : FROM S1 TO S107
S126 : 56 -> 93 : FROM S61 TO S113
S127 : 92 -> 95 : FROM S18 TO S78
S128 : 88 -> 91 : FROM S17 TO S106
S129 : 44 -> 64 : FROM S125 TO S41
S130 : 34 -> 82 : FROM S1 TO S113
S131 : 94 -> 96 : FROM S4 TO S113
S132 : 51 -> 75 : FROM S129 TO S43
S133 : 62 -> 91 : FROM S108 TO S109
S134 : 42 -> 75 : FROM S79 TO S62
S135 : 7 -> 30 : FROM S1 TO S66
S136 : 91 -> 93 : FROM S76 TO S48
S137 : 89 -> 93 : FROM S81 TO S17
S138 : 93 -> 96 : FROM S113 TO S62
S139 : 94 -> 97 : FROM S113 TO S1
S140 : 21 -> 32 : FROM S1 TO S55
S141 : 92 -> 96 : FROM S4 TO S78
S142 : 86 -> 95 : FROM S28 TO S6
S143 : 23 -> 59 : FROM S44 TO S93
S144 : 57 -> 87 : FROM S60 TO S126
S145 : 7 -> 62 : FROM S1 TO S20
S146 : 85 -> 88 : FROM S14 TO S64
S147 : 93 -> 97 : FROM S127 TO S1
S148 : 81 -> 85 : FROM S14 TO S2
S149 : 72 -> 94 : FROM S100 TO S97
S150 : 27 -> 52 : FROM S1 TO S75

Possible Moves : 1, 2, 3, 5, 6
